id,search_text,search_date,clicked_article_1,clicked_article_2,clicked_article_3
263,computer,2021-08-12 08:40:28.625414+00:00,,,
262,computer,2021-08-12 08:40:23.525017+00:00,,,
261,computer,2021-08-12 08:40:20.241664+00:00,,,
260,tv,2021-08-12 08:40:12.890861+00:00,,,
259,computer,2021-08-12 08:40:09.980602+00:00,,,
258,computer,2021-08-12 08:39:54.270253+00:00,Ventilateur Classique Blanc,,
257,computer,2021-08-12 08:39:54.265721+00:00,,,
256,tv,2021-08-12 08:39:17.211291+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG Nanocell,
255,tv,2021-08-12 08:39:14.836802+00:00,,,
254,telephone,2021-08-12 08:39:12.328169+00:00,,,
253,computer,2021-08-12 08:38:41.573212+00:00,,,
252,computer,2021-08-12 08:38:23.913288+00:00,,,
251,computer,2021-08-12 08:38:18.657782+00:00,,,
250,computer,2021-08-12 08:38:17.572443+00:00,,,
249,computer,2021-08-12 08:38:14.249814+00:00,,,
248,tele,2021-08-12 08:38:12.589873+00:00,,,
247,computer,2021-08-12 08:38:04.598378+00:00,,,
246,pc,2021-08-12 08:37:54.558701+00:00,,,
245,pc,2021-08-12 08:37:53.350852+00:00,,,
244,computer,2021-08-12 08:37:45.305750+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,
243,ordinateur,2021-08-12 08:37:33.720298+00:00,,,
242,ordinateur,2021-08-12 08:37:30.661772+00:00,,,
241,computer,2021-08-12 08:37:26.216572+00:00,PC Portable Ultrabook - LENOVO,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53
240,computer,2021-08-12 08:37:21.334388+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
239,computer,2021-08-12 08:37:20.238736+00:00,,,
238,ordinateur,2021-08-12 08:37:19.828600+00:00,,,
237,computer,2021-08-12 08:37:19.731260+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable Ultrabook - LENOVO,
236,computer,2021-08-12 08:37:18.251329+00:00,,,
235,computer,2021-08-12 08:37:17.045227+00:00,,,
234,computer,2021-08-12 08:37:14.929518+00:00,,,
233,computer,2021-08-12 08:37:13.880603+00:00,,,
232,computer,2021-08-12 08:37:13.409630+00:00,PC Portable Ultrabook - LENOVO,PC Portable - ACER Aspire 5 - A514-53,Ordinateur portable TOSHIBA Portégé
231,computer,2021-08-12 08:37:06.025255+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable Ultrabook - LENOVO,PC Portable - ACER Aspire 5 - A514-53
230,computer,2021-08-12 08:37:04.687082+00:00,Four électrique,,
229,computer,2021-08-12 08:37:03.847596+00:00,,,
228,computer,2021-08-12 08:37:03.653320+00:00,,,
227,computer,2021-08-12 08:37:02.773778+00:00,,,
226,computer,2021-08-12 08:36:58.412517+00:00,,,
225,computer,2021-08-12 08:36:58.073499+00:00,,,
224,computer,2021-08-12 08:36:49.445943+00:00,PC Portable Ultrabook - LENOVO,Ordinateur portable TOSHIBA Portégé,Ordinateur portable TOSHIBA Portégé
223,computer,2021-08-12 08:36:46.975649+00:00,,,
222,computer,2021-08-12 08:36:42.162525+00:00,,,
221,tv,2021-08-12 08:36:14.044072+00:00,,,
220,tv,2021-08-12 08:36:09.118416+00:00,,,
219,tv,2021-08-12 08:36:07.090360+00:00,,,
218,tv,2021-08-12 08:33:34.406269+00:00,,,
217,tv,2021-08-12 08:32:34.077544+00:00,,,
216,soja,2021-08-12 07:01:35.631154+00:00,,,
215,soja,2021-08-12 07:01:27.178300+00:00,,,
214,phone,2021-08-12 02:13:26.905170+00:00,,,
213,portable,2021-08-12 02:12:36.416185+00:00,Téléphone Samsung Galaxy Note 20 Ultra 5G,Téléphone Xiaomi Mi 11 5G,Téléphone Xiaomi Mi 10T
212,pc,2021-08-12 02:11:57.796811+00:00,Ordinateur portable TOSHIBA Portégé,,
211,ordinateur,2021-08-12 02:11:23.372157+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
210,ordi,2021-08-12 02:10:36.784483+00:00,Ordinateur portable TOSHIBA Portégé,PC Portable - ACER Aspire 5 - A514-53,PC Portable Ultrabook - LENOVO
209,ordi,2021-08-12 02:10:25.431506+00:00,,,
208,ecouteur,2021-08-12 02:09:23.686126+00:00,Casque Sony Noir,Casque Pionner Noir,Casque Beats Rouge
207,commande,2021-08-12 02:08:53.946877+00:00,Télécommande TV,,
206,ventilo,2021-08-12 02:08:16.555900+00:00,Ventilateur Connecté,Ventilateur Design Blanc,Ventilateur Classique Blanc
205,tv,2021-08-12 02:07:37.789717+00:00,TOSHIBA 50UL3B63DG TV LED UHD 4K - 5' (126 cm) - Smart TV - Bluetooth - 4 x HDMI - 2 X USB,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG OLED
204,televiseur,2021-08-12 02:07:08.995538+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,,
203,tele,2021-08-12 02:06:08.257325+00:00,Télévision LG OLED,Télévision LG Nanocell,Meuble TV
202,manette ps4,2021-08-12 02:05:39.003085+00:00,Manette PS4,,
201,manette,2021-08-12 02:05:28.987672+00:00,Manette PS4,,
200,dd,2021-08-12 02:04:55.238107+00:00,Disque dur externe TOSHIBA,,
199,disque dur externe,2021-08-12 02:04:40.927992+00:00,Disque dur externe TOSHIBA,,
198,disque dur,2021-08-12 02:04:30.408470+00:00,Disque dur externe TOSHIBA,,
197,congelateur,2021-08-12 02:04:13.290219+00:00,Réfrigérateur congélateur bas,,
196,congelo,2021-08-12 02:03:55.282029+00:00,Réfrigérateur congélateur bas,,
195,frigo,2021-08-12 02:03:35.056551+00:00,Réfrigérateur congélateur bas,,
194,four electrique,2021-08-12 02:03:19.251892+00:00,Four électrique,,
193,four,2021-08-12 02:03:02.546171+00:00,Four électrique,,
192,lave-vaisselle,2021-08-12 02:02:51.146200+00:00,,,
191,lave vaisselle,2021-08-12 02:02:38.695309+00:00,Lave vaisselle,,
190,vaisselle,2021-08-12 02:02:25.975823+00:00,Lave vaisselle,,
189,meuble,2021-08-12 02:02:01.587201+00:00,Meuble TV,,
188,hdmi,2021-08-12 02:01:27.690017+00:00,Cable HDMI pour TV,,
187,hdmi,2021-08-12 02:01:17.769270+00:00,,,
186,hdmi,2021-08-12 02:01:13.123877+00:00,,,
185,hdmi,2021-08-12 02:01:13.025270+00:00,,,
184,hdmi,2021-08-12 02:01:12.997305+00:00,,,
183,soja,2021-08-12 00:53:41.419624+00:00,Farine de Soja,,
182,tv,2021-08-11 15:18:03.816422+00:00,,,
181,tv,2021-08-11 15:18:02.957803+00:00,,,
180,ordinateur,2021-08-11 14:57:39.162943+00:00,,,
179,pc,2021-08-11 14:57:14.457694+00:00,,,
178,pc,2021-08-11 14:57:12.460043+00:00,,,
177,telephon,2021-08-11 14:56:55.680503+00:00,,,
176,telephon,2021-08-11 14:56:47.402199+00:00,,,
175,telophone,2021-08-11 14:56:06.086690+00:00,,,
174,telovision,2021-08-11 14:54:51.835654+00:00,,,
173,telovision,2021-08-11 14:54:50.012502+00:00,,,
172,telovision,2021-08-11 14:54:48.653124+00:00,,,
171,telovision,2021-08-11 14:54:44.219458+00:00,,,
170,television,2021-08-11 14:54:11.137947+00:00,,,
169,telovision,2021-08-11 14:53:22.656089+00:00,,,
168,tv,2021-08-11 14:52:20.040281+00:00,,,
167,television,2021-08-11 14:36:00.820774+00:00,,,
166,tv,2021-08-11 14:35:07.876761+00:00,,,
165,television,2021-08-11 14:31:22.537756+00:00,,,
164,television,2021-08-11 14:29:02.505212+00:00,,,
163,tolevision,2021-08-11 14:28:15.538804+00:00,,,
162,tolevision,2021-08-11 14:28:14.950428+00:00,,,
161,tv,2021-08-11 14:27:00.622995+00:00,,,
160,tv,2021-08-11 14:27:00.168849+00:00,,,
159,tv,2021-08-11 13:07:43.636737+00:00,Télévision LG OLED,Réfrigérateur congélateur bas,Téléphone Samsung Galaxy S20 FE
158,tel,2021-08-11 13:01:36.494555+00:00,,,
157,telephon,2021-08-11 13:00:13.393143+00:00,Four électrique,,
156,telephone,2021-08-11 13:00:03.782410+00:00,,,
155,tolephone,2021-08-11 12:58:18.694478+00:00,,,
154,tv,2021-08-11 12:56:59.081716+00:00,,,
153,tele,2021-08-11 12:55:39.102154+00:00,,,
152,tv,2021-08-11 12:54:30.137985+00:00,,,
151,tv,2021-08-11 12:51:40.887743+00:00,,,
150,tv,2021-08-11 12:51:40.782625+00:00,,,
149,casque,2021-08-11 11:13:27.052904+00:00,,,
148,TV,2021-08-11 11:10:52.880974+00:00,,,
147,tv,2021-08-11 11:10:48.406745+00:00,,,
146,télévision,2021-08-11 11:07:29.657455+00:00,,,
145,tv,2021-08-11 11:07:07.249503+00:00,,,
144,tv,2021-08-11 11:06:50.346268+00:00,Télévision LG OLED,,
143,CoNglateur,2021-08-11 11:06:18.380221+00:00,,,
142,CoNgélateur,2021-08-11 11:06:05.677819+00:00,,,
141,tv,2021-08-11 10:36:31.493331+00:00,,,
140,tv,2021-08-11 10:34:37.257413+00:00,Télévision LG Nanocell,,
139,tv,2021-08-11 10:34:17.555405+00:00,TCL 65QLED790 - TV QLED UHD 4K - 65' (165cm) - Dolby,Télévision LG Nanocell,
138,tv,2021-08-11 10:34:07.475123+00:00,,,
137,tv,2021-08-11 10:31:36.612455+00:00,Meuble TV,Télécommande TV,
136,tv,2021-08-11 10:31:12.582945+00:00,,,
135,télé,2021-08-11 00:51:03.582486+00:00,,,
134,télé,2021-08-11 00:50:19.398076+00:00,,,
133,télé,2021-08-11 00:03:55.515220+00:00,,,
132,télévision,2021-08-11 00:03:23.823716+00:00,,,
131,télé,2021-08-11 00:03:18.514128+00:00,,,
130,tb,2021-08-10 23:58:19.449896+00:00,,,
129,tv,2021-08-10 23:58:13.508795+00:00,,,
128,caque audio,2021-08-10 23:57:49.840633+00:00,,,
127,caque,2021-08-10 23:57:43.629602+00:00,,,
126,casque,2021-08-10 23:57:37.424054+00:00,,,
125,caque audio,2021-08-10 23:57:21.860384+00:00,,,
124,caque,2021-08-10 23:57:14.486952+00:00,,,
123,casque,2021-08-10 23:57:07.358228+00:00,,,
122,casque audio,2021-08-10 23:57:00.483767+00:00,,,
121,casque audio,2021-08-10 23:49:30.637633+00:00,,,
120,casque,2021-08-10 23:49:23.436772+00:00,,,
119,télévibion,2021-08-10 23:48:57.699882+00:00,,,
118,télévision,2021-08-10 23:48:47.439730+00:00,,,
117,tb,2021-08-10 23:48:37.008634+00:00,,,
116,test,2021-08-10 23:48:32.133451+00:00,,,
115,aple,2021-08-10 23:48:25.478696+00:00,,,
114,apple,2021-08-10 23:48:19.986302+00:00,,,
113,aple,2021-08-10 23:28:45.234795+00:00,,,
112,apple,2021-08-10 23:28:38.397169+00:00,,,
111,casque audio,2021-08-10 23:27:25.510916+00:00,,,
110,casque,2021-08-10 23:27:19.479102+00:00,,,
109,casque audio,2021-08-10 23:26:03.624500+00:00,,,
108,casque,2021-08-10 23:25:49.502870+00:00,,,
107,aple,2021-08-10 22:55:32.527867+00:00,,,
106,apple,2021-08-10 22:55:23.136522+00:00,,,
105,tv,2021-08-10 18:28:14.046150+00:00,,,
104,tv,2021-08-10 18:28:06.887290+00:00,,,
103,tv,2021-08-10 18:28:06.621495+00:00,,,
102,tv,2021-08-10 18:27:56.429602+00:00,,,
101,tv,2021-08-10 08:11:58.951342+00:00,,,
100,tv,2021-08-10 08:11:57.387198+00:00,,,
99,telephone,2021-08-10 08:05:00.411328+00:00,,,
98,telephone,2021-08-10 08:04:53.190209+00:00,,,
97,electrique,2021-08-10 08:03:54.619010+00:00,,,
96,w,2021-08-10 07:58:24.740947+00:00,,,
95,voiture,2021-08-10 07:57:08.714918+00:00,,,
94,voiture,2021-08-10 07:56:59.039503+00:00,,,
93,voiture,2021-08-10 07:56:50.114071+00:00,,,
92,sad,2021-08-10 07:56:15.806633+00:00,,,
91,soja,2021-08-10 07:56:00.621380+00:00,Télévision LG OLED,,
90,de,2021-08-10 07:55:50.346200+00:00,,,
89,tv,2021-08-10 07:55:47.294855+00:00,,,
88,casque,2021-08-10 07:55:45.371289+00:00,,,
87,electrique,2021-08-10 07:51:42.505323+00:00,,,
86,electrique,2021-08-10 07:51:41.896994+00:00,,,
85,electrique,2021-08-10 07:51:41.365458+00:00,,,
84,electrique,2021-08-10 07:51:21.889467+00:00,,,
83,casque,2021-08-10 07:50:37.331859+00:00,Farine de Soja,CHARGEUR adaptateur secteur pour Toshiba Satellite A600 A660 A665 A80 C645 C645D C650,
82,tv,2021-08-10 07:50:23.962617+00:00,TOSHIBA 50UL3B63DG TV LED UHD 4K - 5' (126 cm) - Smart TV - Bluetooth - 4 x HDMI - 2 X USB,Cable HDMI pour TV,Meuble TV
81,caque,2021-08-10 07:49:13.268738+00:00,,,
80,caque,2021-08-10 07:49:10.173819+00:00,,,
79,caqu,2021-08-10 07:49:07.250238+00:00,,,
78,venti,2021-08-10 07:49:02.899852+00:00,,,
77,casque,2021-08-10 07:48:58.649356+00:00,,,
76,casque,2021-08-10 07:48:41.156831+00:00,,,
75,casque,2021-08-10 07:48:38.384013+00:00,,,
74,casque,2021-08-10 07:48:37.046388+00:00,,,
73,casque,2021-08-10 07:48:36.987480+00:00,,,
72,casque,2021-08-10 07:48:35.318327+00:00,,,
71,casque,2021-08-10 07:48:26.527009+00:00,,,
70,casque,2021-08-10 07:48:22.672762+00:00,,,
69,casque,2021-08-10 07:48:22.469812+00:00,,,
68,casque,2021-08-10 07:48:03.487249+00:00,,,
67,cask,2021-08-10 07:47:58.564896+00:00,,,
66,casqu,2021-08-10 07:47:54.912848+00:00,,,
65,casque,2021-08-10 07:47:50.205470+00:00,,,
64,casque,2021-08-10 07:47:49.963952+00:00,,,
63,casque,2021-08-10 07:47:47.954720+00:00,,,
62,casque,2021-08-10 07:47:47.708323+00:00,,,
61,casque,2021-08-10 07:47:47.108253+00:00,,,
60,casque,2021-08-10 07:47:46.456346+00:00,,,
59,externe,2021-08-10 07:47:45.359758+00:00,,,
58,externe,2021-08-10 07:47:44.833167+00:00,,,
57,casque,2021-08-10 07:47:43.817942+00:00,,,
56,casqu,2021-08-10 07:47:43.206062+00:00,,,
55,casqu,2021-08-10 07:47:42.977075+00:00,,,
54,pc,2021-08-10 07:47:39.545057+00:00,,PC Portable Ultrabook - LENOVO,
53,casque,2021-08-10 07:47:37.524913+00:00,,,
52,samsung,2021-08-09 16:12:06.915893+00:00,Téléphone Samsung Galaxy Note 20 Ultra 5G,,
51,apple,2021-08-09 16:11:59.948016+00:00,,,
50,casque,2021-08-09 16:11:47.837897+00:00,,,
49,casque audio,2021-08-09 16:11:34.051178+00:00,,,
48,telephone,2021-08-09 16:11:21.193051+00:00,,,
47,casque,2021-08-09 16:09:14.361172+00:00,,,
46,tv,2021-08-09 16:09:04.828752+00:00,,,
45,television,2021-08-09 09:10:49.283119+00:00,,,
44,tv,2021-08-09 09:09:14.715468+00:00,,,
43,casque,2021-08-09 08:05:49.856105+00:00,,,
42,casque audio,2021-08-09 08:05:42.231627+00:00,,,
41,casque,2021-08-09 08:05:07.179045+00:00,,,
40,casque audio,2021-08-09 08:05:01.634537+00:00,,,
39,casque,2021-08-09 08:04:58.067469+00:00,,,
38,television,2021-08-09 08:04:51.381509+00:00,,,
37,tv,2021-08-09 08:04:46.524944+00:00,,,
36,apple,2021-08-09 08:04:42.310824+00:00,,,
35,test,2021-08-09 08:04:38.601730+00:00,,,
34,tv,2021-08-09 07:24:09.389501+00:00,TOSHIBA 50UL3B63DG TV LED UHD 4K - 5' (126 cm) - Smart TV - Bluetooth - 4 x HDMI - 2 X USB,,
33,casque,2021-08-09 06:23:10.828459+00:00,Casque Beats Rouge,Casque Beats Noir,Casque JBL Consumer Rouge
32,apple,2021-08-09 01:23:33.762427+00:00,Apple iPhone 7 32Go Noir,,
31,tv,2021-08-09 00:29:06.581973+00:00,TOSHIBA 50UL3B63DG TV LED UHD 4K - 5' (126 cm) - Smart TV - Bluetooth - 4 x HDMI - 2 X USB,Farine de Soja,
30,ventilo,2021-08-08 23:44:24.801084+00:00,Télécommande TV,,
29,ventilo,2021-08-08 23:44:22.415371+00:00,,,
28,ventilo,2021-08-08 23:44:18.327255+00:00,,,
27,ventilo,2021-08-08 23:44:13.951861+00:00,,,
26,ventilo,2021-08-08 23:43:49.451717+00:00,,,
25,tv,2021-08-08 23:41:24.729237+00:00,Réfrigérateur congélateur bas,,
